scheme,age,snr_mean,snr_stderr
exp/tau=10000,241,3.268140e-1,3.983871e-1
exp/tau=10000,300,5.928509e-1,4.039855e-1
exp/tau=10000,373,2.670642e-1,3.073318e-1
exp/tau=10000,465,-1.207882e-1,3.281314e-1
exp/tau=10000,579,2.351238e-1,3.737151e-1
exp/tau=10000,721,-1.429663e-2,2.403970e-1
exp/tau=10000,897,3.249911e-1,2.612971e-1
exp/tau=10000,1118,3.507575e-1,4.058457e-1
exp/tau=10000,1392,2.789660e-1,2.704689e-1
exp/tau=10000,1733,4.535438e-2,3.766818e-1
exp/tau=10000,2158,-3.013785e-1,2.952734e-1
exp/tau=10000,2687,-1.172160e-1,4.121238e-1
exp/tau=10000,3346,-3.728075e-1,3.334071e-1
exp/tau=10000,4167,3.563724e-1,3.281817e-1
exp/tau=10000,5189,1.486186e-1,1.700594e-1
exp/tau=10000,6461,4.926831e-1,3.805142e-1
exp/tau=10000,8046,2.330672e-1,4.213635e-1
exp/tau=10000,10019,2.063973e-2,3.427224e-1
exp/tau=10000,12476,-1.954143e-1,4.716117e-1
exp/tau=10000,15536,5.882997e-2,3.227976e-1
exp/tau=10000,19347,-3.540850e-1,4.984097e-1
exp/tau=10000,24091,6.001142e-1,3.048653e-1
exp/tau=10000,30000,3.664866e-1,3.169254e-1
exp/tau=30000,1,5.758272e0,1.457658e-1
exp/tau=30000,2,5.751920e0,1.437506e-1
exp/tau=30000,3,5.652629e0,1.355374e-1
exp/tau=30000,4,5.570728e0,1.299288e-1
exp/tau=30000,5,5.487457e0,1.363727e-1
exp/tau=30000,6,5.503115e0,1.264626e-1
exp/tau=30000,7,5.425665e0,1.441489e-1
exp/tau=30000,9,5.310165e0,1.334282e-1
exp/tau=30000,11,5.067975e0,1.092069e-1
exp/tau=30000,14,4.972527e0,1.172313e-1
exp/tau=30000,17,4.885421e0,1.399290e-1
exp/tau=30000,22,4.787337e0,1.737501e-1
exp/tau=30000,27,4.376795e0,1.911842e-1
exp/tau=30000,33,3.893445e0,1.957043e-1
exp/tau=30000,42,3.632482e0,2.339325e-1
exp/tau=30000,52,2.945384e0,1.805972e-1
exp/tau=30000,65,2.546670e0,2.377372e-1
exp/tau=30000,80,2.147760e0,3.469909e-1
exp/tau=30000,100,1.534801e0,4.002571e-1
exp/tau=30000,125,1.472288e0,4.702701e-1
