scheme,age,snr_mean,snr_stderr
exp/tau=10000,721,-2.384486e-2,6.047004e-2
exp/tau=10000,897,8.259511e-2,6.623869e-2
exp/tau=10000,1118,3.241047e-3,6.016597e-2
exp/tau=10000,1392,-1.036629e-2,6.249811e-2
exp/tau=10000,1733,-5.738917e-3,6.481263e-2
exp/tau=10000,2158,3.329525e-2,6.340372e-2
exp/tau=10000,2687,8.891805e-2,6.294668e-2
exp/tau=10000,3346,-1.535647e-1,6.097729e-2
exp/tau=10000,4167,-1.015038e-1,6.031623e-2
exp/tau=10000,5189,6.307670e-2,5.809722e-2
exp/tau=10000,6461,-8.835261e-4,6.590431e-2
exp/tau=10000,8046,-4.637497e-2,6.422730e-2
exp/tau=10000,10019,5.449306e-2,5.938900e-2
exp/tau=10000,12476,4.482699e-3,6.493322e-2
exp/tau=10000,15536,2.114126e-2,6.247230e-2
exp/tau=10000,19347,-8.676377e-3,6.363572e-2
exp/tau=10000,24091,1.229901e-1,6.151136e-2
exp/tau=10000,30000,5.431758e-2,5.968314e-2
exp/tau=30000,1,5.640700e0,3.007413e-2
exp/tau=30000,2,5.592649e0,3.045398e-2
exp/tau=30000,3,5.524428e0,3.130128e-2
exp/tau=30000,4,5.431364e0,3.071591e-2
exp/tau=30000,5,5.371396e0,3.236539e-2
exp/tau=30000,6,5.297543e0,3.265367e-2
exp/tau=30000,7,5.214067e0,3.225223e-2
exp/tau=30000,9,5.113460e0,3.343824e-2
exp/tau=30000,11,4.991147e0,3.515222e-2
exp/tau=30000,14,4.789533e0,3.897514e-2
exp/tau=30000,17,4.602660e0,4.367173e-2
exp/tau=30000,22,4.351332e0,4.615383e-2
exp/tau=30000,27,4.053486e0,4.802794e-2
exp/tau=30000,33,3.805051e0,4.817437e-2
exp/tau=30000,42,3.363368e0,5.223120e-2
exp/tau=30000,52,2.919901e0,5.093763e-2
exp/tau=30000,65,2.485684e0,5.496602e-2
exp/tau=30000,80,2.055536e0,5.897609e-2
exp/tau=30000,100,1.590630e0,6.059209e-2
exp/tau=30000,125,1.081200e0,6.266562e-2
exp/tau=30000,155,6.112659e-1,6.287376e-2
exp/tau=30000,193,2.682320e-1,6.371840e-2
exp/tau=30000,241,1.915637e-1,5.931111e-2
exp/tau=30000,300,8.450566e-2,6.399505e-2
exp/tau=30000,373,-2.014200e-2,6.535666e-2
exp/tau=30000,465,1.150754e-1,6.686934e-2
exp/tau=30000,579,1.512734e-1,6.147146e-2
exp/tau=30000,721,-2.380407e-2,6.045963e-2
exp/tau=30000,897,8.270052e-2,6.623869e-2
exp/tau=30000,1118,3.438085e-3,6.016157e-2
exp/tau=30000,1392,-1.013931e-2,6.248566e-2
exp/tau=30000,1733,-5.376910e-3,6.479730e-2
exp/tau=30000,2158,3.377570e-2,6.342021e-2
exp/tau=30000,2687,8.834340e-2,6.296554e-2
exp/tau=30000,3346,-1.538142e-1,6.097615e-2
exp/tau=30000,4167,-1.016026e-1,6.030851e-2
exp/tau=30000,5189,6.361468e-2,5.808053e-2
exp/tau=30000,6461,-9.406644e-4,6.589481e-2
exp/tau=30000,8046,-4.629344e-2,6.420732e-2
exp/tau=30000,10019,5.434377e-2,5.939662e-2
exp/tau=30000,12476,4.822681e-3,6.492338e-2
exp/tau=30000,15536,2.163293e-2,6.246771e-2
exp/tau=30000,19347,-8.659243e-3,6.362692e-2
exp/tau=30000,24091,1.228708e-1,6.150844e-2
exp/tau=30000,30000,5.458281e-2,5.966649e-2
uniform/g=0.25/m=8,1,7.148849e0,3.252092e-2
uniform/g=0.25/m=8,2,6.902037e0,3.258604e-2
uniform/g=0.25/m=8,3,6.643500e0,3.325890e-2
uniform/g=0.25/m=8,4,6.381276e0,3.308564e-2
uniform/g=0.25/m=8,5,6.187560e0,3.595656e-2
uniform/g=0.25/m=8,6,5.976715e0,3.634456e-2
uniform/g=0.25/m=8,7,5.768059e0,3.575578e-2
uniform/g=0.25/m=8,9,5.496846e0,3.649270e-2
uniform/g=0.25/m=8,11,5.191702e0,3.932094e-2
uniform/g=0.25/m=8,14,4.800015e0,4.342778e-2
uniform/g=0.25/m=8,17,4.487676e0,4.579506e-2
uniform/g=0.25/m=8,22,4.078089e0,4.914245e-2
uniform/g=0.25/m=8,27,3.729311e0,4.976330e-2
uniform/g=0.25/m=8,33,3.447203e0,4.890257e-2
uniform/g=0.25/m=8,42,3.025784e0,5.093844e-2
uniform/g=0.25/m=8,52,2.694570e0,5.393902e-2
uniform/g=0.25/m=8,65,2.415804e0,5.741327e-2
uniform/g=0.25/m=8,80,2.236128e0,5.947591e-2
uniform/g=0.25/m=8,100,2.098359e0,5.753120e-2
uniform/g=0.25/m=8,125,1.897470e0,6.282318e-2
uniform/g=0.25/m=8,155,1.762135e0,5.981875e-2
uniform/g=0.25/m=8,193,1.613279e0,6.133805e-2
uniform/g=0.25/m=8,241,1.549942e0,5.834376e-2
uniform/g=0.25/m=8,300,1.415707e0,6.425575e-2
uniform/g=0.25/m=8,373,1.252400e0,6.401637e-2
uniform/g=0.25/m=8,465,1.158081e0,6.526492e-2
uniform/g=0.25/m=8,579,9.962679e-1,6.048250e-2
uniform/g=0.25/m=8,721,6.800918e-1,6.175138e-2
uniform/g=0.25/m=8,897,5.777302e-1,6.265311e-2
uniform/g=0.25/m=8,1118,3.667833e-1,6.402329e-2
uniform/g=0.25/m=8,1392,1.918662e-1,6.686218e-2
uniform/g=0.25/m=8,1733,1.100664e-1,6.968019e-2
uniform/g=0.25/m=8,2158,1.425740e-1,6.370387e-2
uniform/g=0.25/m=8,2687,1.131811e-1,6.126256e-2
uniform/g=0.25/m=8,3346,-5.869738e-3,6.040598e-2
uniform/g=0.25/m=8,4167,-8.495659e-2,6.366471e-2
uniform/g=0.25/m=8,5189,5.124776e-2,6.105921e-2
uniform/g=0.25/m=8,6461,-7.267762e-3,6.746846e-2
uniform/g=0.25/m=8,8046,-4.067814e-2,6.417549e-2
uniform/g=0.25/m=8,10019,-5.728493e-3,6.152013e-2
uniform/g=0.25/m=8,12476,-2.448843e-2,6.783687e-2
uniform/g=0.25/m=8,15536,-6.575709e-3,6.099060e-2
uniform/g=0.25/m=8,19347,-1.171335e-2,6.586484e-2
uniform/g=0.25/m=8,24091,6.462707e-2,6.498472e-2
uniform/g=0.25/m=8,30000,-2.313249e-2,5.888757e-2
geo/r=2/m=8,1,7.262464e0,3.258922e-2
geo/r=2/m=8,2,7.058165e0,3.241033e-2
geo/r=2/m=8,3,6.866684e0,3.266753e-2
geo/r=2/m=8,4,6.665035e0,3.281817e-2
geo/r=2/m=8,5,6.514880e0,3.587494e-2
geo/r=2/m=8,6,6.328217e0,3.595210e-2
geo/r=2/m=8,7,6.133544e0,3.445032e-2
geo/r=2/m=8,9,5.881938e0,3.552184e-2
geo/r=2/m=8,11,5.577863e0,3.997282e-2
geo/r=2/m=8,14,5.189015e0,4.393620e-2
geo/r=2/m=8,17,4.884309e0,4.563291e-2
geo/r=2/m=8,22,4.486944e0,4.963249e-2
geo/r=2/m=8,27,4.177355e0,5.033144e-2
geo/r=2/m=8,33,3.903899e0,4.999305e-2
geo/r=2/m=8,42,3.503681e0,5.117727e-2
geo/r=2/m=8,52,3.137887e0,5.314944e-2
geo/r=2/m=8,65,2.771354e0,5.839885e-2
geo/r=2/m=8,80,2.481003e0,6.062968e-2
geo/r=2/m=8,100,2.206368e0,5.977386e-2
geo/r=2/m=8,125,1.861262e0,6.493116e-2
geo/r=2/m=8,155,1.602111e0,6.230959e-2
geo/r=2/m=8,193,1.354080e0,6.347964e-2
geo/r=2/m=8,241,1.197887e0,5.984120e-2
geo/r=2/m=8,300,1.043086e0,6.630006e-2
geo/r=2/m=8,373,9.008863e-1,6.481682e-2
geo/r=2/m=8,465,8.318521e-1,6.565311e-2
geo/r=2/m=8,579,7.499454e-1,6.079275e-2
geo/r=2/m=8,721,5.113304e-1,6.086185e-2
geo/r=2/m=8,897,5.290389e-1,6.317508e-2
geo/r=2/m=8,1118,3.786895e-1,6.458598e-2
geo/r=2/m=8,1392,2.646128e-1,6.644615e-2
geo/r=2/m=8,1733,2.268778e-1,6.957453e-2
geo/r=2/m=8,2158,2.500141e-1,6.239975e-2
geo/r=2/m=8,2687,2.582580e-1,6.001044e-2
geo/r=2/m=8,3346,1.211563e-1,6.051484e-2
geo/r=2/m=8,4167,2.300583e-2,6.313938e-2
geo/r=2/m=8,5189,1.259450e-1,6.069552e-2
geo/r=2/m=8,6461,4.598371e-2,6.820391e-2
geo/r=2/m=8,8046,-1.323929e-2,6.489903e-2
geo/r=2/m=8,10019,5.583439e-2,6.142433e-2
geo/r=2/m=8,12476,-2.688698e-2,6.597805e-2
geo/r=2/m=8,15536,1.391688e-2,6.099349e-2
geo/r=2/m=8,19347,1.703161e-2,6.497217e-2
geo/r=2/m=8,24091,1.043874e-1,6.398160e-2
geo/r=2/m=8,30000,1.669000e-2,6.054246e-2
geo/r=4/m=4,1,7.185889e0,3.362540e-2
geo/r=4/m=4,2,6.733403e0,3.412364e-2
geo/r=4/m=4,3,6.403911e0,3.491952e-2
geo/r=4/m=4,4,6.190355e0,3.636889e-2
geo/r=4/m=4,5,6.104372e0,3.972470e-2
geo/r=4/m=4,6,5.986772e0,3.877237e-2
geo/r=4/m=4,7,5.870756e0,3.644760e-2
geo/r=4/m=4,9,5.794830e0,3.643548e-2
geo/r=4/m=4,11,5.606387e0,4.120556e-2
geo/r=4/m=4,14,5.363453e0,4.331100e-2
geo/r=4/m=4,17,5.137224e0,4.403046e-2
